,precision,recall,f1-score,support
bed,0.7541899441340782,0.7670454545454546,0.7605633802816901,176.0
bird,0.845679012345679,0.8670886075949367,0.8562500000000001,158.0
cat,0.8343558282208589,0.8192771084337349,0.8267477203647415,166.0
dog,0.8,0.7555555555555555,0.7771428571428571,180.0
down,0.8636363636363636,0.8260869565217391,0.8444444444444444,253.0
eight,0.8695652173913043,0.7782101167315175,0.8213552361396304,257.0
five,0.8483606557377049,0.7638376383763837,0.8038834951456311,271.0
four,0.764505119453925,0.8853754940711462,0.8205128205128205,253.0
go,0.6267605633802817,0.7091633466135459,0.6654205607476636,251.0
happy,0.8956043956043956,0.9055555555555556,0.9005524861878453,180.0
house,0.875,0.8866666666666667,0.880794701986755,150.0
left,0.779783393501805,0.8089887640449438,0.7941176470588235,267.0
marvin,0.9708029197080292,0.8209876543209876,0.8896321070234113,162.0
nine,0.8405797101449275,0.8957528957528957,0.8672897196261682,259.0
no,0.8737373737373737,0.6865079365079365,0.7688888888888888,252.0
off,0.9086294416243654,0.683206106870229,0.7799564270152505,262.0
on,0.9336734693877551,0.7439024390243902,0.8280542986425339,246.0
one,0.8583333333333333,0.8306451612903226,0.8442622950819673,248.0
right,0.78515625,0.7760617760617761,0.7805825242718446,259.0
seven,0.7717391304347826,0.891213389121339,0.8271844660194175,239.0
sheila,0.9162011173184358,0.8817204301075269,0.8986301369863013,186.0
six,0.8264150943396227,0.8975409836065574,0.8605108055009824,244.0
stop,0.8487394957983193,0.8112449799196787,0.8295687885010267,249.0
three,0.5880829015544041,0.850187265917603,0.6952526799387443,267.0
tree,0.8571428571428571,0.6528497409326425,0.7411764705882353,193.0
two,0.6808510638297872,0.8484848484848485,0.7554806070826307,264.0
up,0.7378640776699029,0.8382352941176471,0.7848537005163511,272.0
wow,0.9848484848484849,0.7878787878787878,0.8754208754208754,165.0
yes,0.8444444444444444,0.890625,0.8669201520912547,256.0
zero,0.8893805309734514,0.804,0.8445378151260504,250.0
accuracy,0.8109729334308705,0.8109729334308705,0.8109729334308705,0.8109729334308705
macro avg,0.8291354063232226,0.8121298651542117,0.8163329369444945,6835.0
weighted avg,0.8226806140285192,0.8109729334308705,0.8123348875104872,6835.0
